% Format of weather data in CARNOT.
%   station name:  Potsdam   country: Germany
%   geographical positon: longitude: 52.393800 , latitude: -13.065100
%   reference meridian for time (example: 0° = Greenwich Mean Time): -15.000000
% Data converted from Test Reference Year. Data converted from Test Reference Year. DWD local TRY 2016 
% Use the Carnot block "Weather_Datafile" to get the data in your model.
%
% col   description                                       units
% 1     time                                                s
% 2     timevalue (comment line) format YYYYMMDDHHMM        -
%       Y is the year, M the month, D the day, H the hour
% 3     zenith angle of sun (at time, not averaged)         degree
%       (continue at night to get time of sunrise by
%       linear interpolation)
% 4     azimuth angle of sun (0°=south, east negative)      degree
%       (at time, not average in timestep)
% 5     direct solar radiation on a normal surface          W/m^2
% 6     diffuse solar radiation on surface                  W/m^2
% 7     ambient temperature                                 degree centigrade
% 8     radiation temperature of sky                        degree centigrade
% 9     relative humidity                                   percent
% 10    precipitation                                       m/s
% 11    cloud index (0=no cloud, 1=covered sky)             -
% 12    station pressure                                    Pa
% 13    mean wind speed                                     m/s
% 14    wind direction (north=0° west=270°)                 degree
% 15    incidence angle on surface (0° = vertical)          degree
%       (= -9999, if surface orientation is unknown)
% 16    incidence angle in plane of vertical and main       degree
%       surface axis (the main axis is parallel to heat
%       collecting pipes in a collector, it is pointing
%       to the center of the earth)
% 17    incidence angle in plane of vertical and second     degree
%       surface axis (the second axis is in the surface
%       and a vertical on the heat collecting pipes in 
%       a collector, it is pointing to the horizon)
%
% 18    direct solar radiation on surface                   W/m^2
% 19    diffuse solar radiation on surface                  W/m^2
% UNKNOWN: set -9999 for unknown values
%
%   time        tvalue    zenith   azimuth   Ibn Idfuhor Tamb   Tsky   hum    prec  cloud   p      wspeed  wdir  incidence  tetal   tetat   Idirhor Idfuhor
   91800  200501020130    146.94   -145.29     0     0   -0.1   -4.8   88.0  -9999  0.875   98900    3.50  240.0    146.9  -9999.0  -9999.0     0     0
   95400  200501020230    140.44   -124.58     0     0    0.0   -4.7   88.0  -9999  0.875   98900    4.00  240.0    140.4  -9999.0  -9999.0     0     0
   99000  200501020330    132.26   -108.40     0     0    0.1   -4.6   89.0  -9999  0.875   98900    2.90  260.0    132.3  -9999.0  -9999.0     0     0
  102600  200501020430    123.31    -95.05     0     0    0.0   -9.5   89.0  -9999  0.625   98900    2.70  230.0    123.3  -9999.0  -9999.0     0     0
  106200  200501020530    114.17    -83.23     0     0   -0.1   -9.7   88.0  -9999  0.625   98900    1.80  190.0    114.2  -9999.0  -9999.0     0     0
  109800  200501020630    105.25    -72.03     0     0   -0.3   -7.4   90.0  -9999  0.750   98900    1.90  180.0    105.2  -9999.0  -9999.0     0     0
  113400  200501020730     96.87    -60.84     0     0   -0.2   -4.8   94.0  -9999  0.875   98900    2.20  260.0     96.9  -9999.0  -9999.0     0     0
  117000  200501020830     89.37    -49.22     0     2    0.0   -4.6   95.0  -9999  0.875   99000    2.50  260.0     89.4  -9999.0  -9999.0     0     2
  120600  200501020930     83.13    -36.88    67    27    0.1   -6.9   96.0  -9999  0.750   99000    1.00  280.0     83.1  -9999.0  -9999.0     8    27
  124200  200501021030     78.51    -23.70    20    52    0.3   -4.3   96.0  -9999  0.875   99100    3.30  280.0     78.5  -9999.0  -9999.0     4    52
  127800  200501021130     75.87     -9.80    82    68    0.3  -11.5   97.0  -9999  0.500   99200    4.20  310.0     75.9  -9999.0  -9999.0    20    68
  131400  200501021230     75.44      4.44     0    38    0.1   -4.5   97.0  -9999  0.875   99400    5.10  290.0     75.4  -9999.0  -9999.0     0    38
  135000  200501021330     77.26     18.53     0    22   -0.2   -2.5   96.0  -9999  1.000   99600    4.80  300.0     77.3  -9999.0  -9999.0     0    22
  138600  200501021430     81.16     32.01     0    13   -0.4   -2.7   96.0  -9999  1.000   99700    4.70  290.0     81.2  -9999.0  -9999.0     0    13
  142200  200501021530     86.83     44.67     0     9   -0.5   -2.8   96.0  -9999  1.000   99900    4.40  300.0     86.8  -9999.0  -9999.0     0     9
  145800  200501021630     93.89     56.54     0     0   -0.4   -5.1   94.0  -9999  0.875  100000    4.10  320.0     93.9  -9999.0  -9999.0     0     0
  149400  200501021730    101.97     67.85     0     0   -1.0   -5.7   93.0  -9999  0.875  100200    3.60  310.0    102.0  -9999.0  -9999.0     0     0
  153000  200501021830    110.73     79.00     0     0   -1.4   -6.2   91.0  -9999  0.875  100300    4.00  310.0    110.7  -9999.0  -9999.0     0     0
  156600  200501021930    119.82     90.51     0     0   -1.3   -8.5   90.0  -9999  0.750  100500    3.40  320.0    119.8  -9999.0  -9999.0     0     0
  160200  200501022030    128.89    103.16     0     0   -1.7   -9.0   88.0  -9999  0.750  100700    4.00  320.0    128.9  -9999.0  -9999.0     0     0
  163800  200501022130    137.44    118.09     0     0   -2.1   -9.4   87.0  -9999  0.750  100800    3.10  320.0    137.4  -9999.0  -9999.0     0     0
  167400  200501022230    144.70    136.90     0     0   -2.1   -9.4   88.0  -9999  0.750  101000    3.10  300.0    144.7  -9999.0  -9999.0     0     0
  171000  200501022330    149.45    160.94     0     0   -3.0  -15.6   89.0  -9999  0.500  101100    3.10  310.0    149.4  -9999.0  -9999.0     0     0
  174600  200501030030    150.28   -171.40     0     0   -1.3  -11.0   90.0  -9999  0.625  101300    2.80  310.0    150.3  -9999.0  -9999.0     0     0
  178200  200501030130    146.90   -145.52     0     0   -0.9   -8.1   90.0  -9999  0.750  101400    3.40  310.0    146.9  -9999.0  -9999.0     0     0
  181800  200501030230    140.42   -124.79     0     0   -0.5   -2.9   91.0  -9999  1.000  101500    3.40  320.0    140.4  -9999.0  -9999.0     0     0
